"datasetName","basisOfRecord","recordedBy","eventID","parentEventID","eventDate_setup","eventDate_collect","eventDate","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID_site","locationID_trap","country","countryCode","stateProvince","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","georeferenceProtocol","georeferenceSources","identifiedBy","dung_type","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Duranillin_2012-02-14_a","Duranillin_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 13:48:13","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Duranillin","Duranillin Trap 1","Australia","AUS","Western Australia","West Arthur","6 km WSW Duranillin",-33.479275,116.827276,"EPSG:4326",31,1e-05,-33.479275,116.827276,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",4,5,48,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Narrikine_2012-02-14_a","Narrikine_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 14:49:43","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Narrikine","Narrikine Trap 1","Australia","AUS","Western Australia","Williams","14 km ESE Williams",-32.968845,116.751078,"EPSG:4326",31,1e-05,-32.968845,116.751078,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",13,6,18,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Jingalup_2012-02-14_a","Jingalup_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 11:45:19","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Jingalup","Jingalup Trap 2","Australia","AUS","Western Australia","Kojonup","7 km ENE Jingalup",-34.003891,116.97241,"EPSG:4326",31,1e-05,-34.003891,116.97241,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",44,2,6,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Jingalup_2012-02-14_b","Jingalup_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 11:46:50","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Jingalup","Jingalup Trap 1","Australia","AUS","Western Australia","Kojonup","7 km ENE Jingalup",-34.004007,116.972397,"EPSG:4326",31,1e-05,-34.004007,116.972397,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",36,1,7,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Kojonup_2012-02-14_a","Kojonup_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 12:14:44","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Kojonup","Kojonup Trap 1","Australia","AUS","Western Australia","Kojonup","8 km N Kojonup",-33.908095,117.182348,"EPSG:4326",31,1e-05,-33.908095,117.182348,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",182,9,7,1,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Duranillin_2012-02-14_b","Duranillin_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 13:49:13","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Duranillin","Duranillin Trap 2","Australia","AUS","Western Australia","West Arthur","6 km WSW Duranillin",-33.479177,116.827388,"EPSG:4326",31,1e-05,-33.479177,116.827388,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",27,2,47,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Narrikine_2012-02-14_b","Narrikine_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 14:50:19","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Narrikine","Narrikine Trap 2","Australia","AUS","Western Australia","Williams","14 km ESE Williams",-32.968848,116.751078,"EPSG:4326",31,1e-05,-32.968848,116.751078,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",11,5,44,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Kojonup_2012-02-14_b","Kojonup_2012-02-14",2012-02-14,2012-02-15,"2012-02-14/2012-02-15",45,46,2012,2,14,"2012-02-14 2012-02-15 12:14:04","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Kojonup","Kojonup Trap 2","Australia","AUS","Western Australia","Kojonup","8 km N Kojonup",-33.908102,117.182336,"EPSG:4326",31,1e-05,-33.908102,117.182336,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",107,4,27,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Narrikup_2012-02-15_a","Narrikup_2012-02-15",2012-02-15,2012-02-16,"2012-02-15/2012-02-16",46,47,2012,2,15,"2012-02-15 2012-02-16 13:00:00","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Narrikup","Narrikup Trap 1","Australia","AUS","Western Australia","Plantagenet","6 km SSW Narrikup",-34.725057,117.728324,"EPSG:4326",31,1e-05,-34.725057,117.728324,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",2418,139,2,1,152,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Bullsbrook_2012-03-01_a","Bullsbrook_2012-03-01",2012-03-01,2012-03-02,"2012-03-01/2012-03-02",61,62,2012,3,1,"2012-03-01 2012-03-02 09:25:55","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Bullsbrook","Bullsbrook Trap 1","Australia","AUS","Western Australia","Swan","5 km N Bullsbrook",-31.711725,116.008171,"EPSG:4326",31,1e-05,-31.711725,116.008171,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",1,0,0,0,0,2,24,0,0,0,0
