"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Duranillin","Trap 1",116.827276,-33.479275,2012-02-14,2012-02-15 13:48:13,4,5,48,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-02-14,2012-02-15 14:49:43,13,6,18,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-02-14,2012-02-15 11:45:19,44,2,6,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-02-14,2012-02-15 11:46:50,36,1,7,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-02-14,2012-02-15 12:14:44,182,9,7,1,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-02-14,2012-02-15 13:49:13,27,2,47,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-02-14,2012-02-15 14:50:19,11,5,44,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-02-14,2012-02-15 12:14:04,107,4,27,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-02-15,2012-02-16 13:00:00,2418,139,2,1,152,0,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-03-01,2012-03-02 09:25:55,1,0,0,0,0,2,24,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-03-01,2012-03-02 11:55:15,3,0,0,0,0,7,40,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-03-01,2012-03-02 09:28:57,0,0,0,0,0,0,23,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-03-01,2012-03-02 11:59:26,8,0,0,3,0,15,119,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-03-06,2012-03-07 13:55:31,24,0,0,0,0,1,50,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-03-06,2012-03-07 14:00:13,10,0,0,0,0,2,43,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-03-06,2012-03-07 11:18:11,0,0,0,0,0,9,64,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-03-06,2012-03-07 11:16:58,0,0,0,1,0,8,51,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-02-21,2012-02-22 00:00:00,2443,164,0,1,39,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-02-21,2012-02-22 00:00:00,2604,208,0,0,52,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-02-21,2012-02-22 00:00:00,97,2,14,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-02-15,2012-02-16 00:00:00,3319,157,0,0,290,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-03-20,2012-03-21 14:49:26,4,0,2,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-03-20,2012-03-21 12:08:19,1,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-03-19,2012-03-20 00:00:00,5,0,0,1,1,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-03-19,2012-03-20 00:00:00,2,0,0,0,1,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-03-20,2012-03-21 00:00:00,42,3,34,0,3,1,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-03-20,2012-03-21 00:00:00,83,2,90,0,5,0,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-03-27,2012-03-28 09:53:10,2,0,4,0,0,2,11,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-03-27,2012-03-28 12:29:43,4,0,3,0,0,11,12,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-03-27,2012-03-28 12:29:16,8,0,3,1,0,4,11,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-03-27,2012-03-28 09:53:48,3,0,11,0,0,3,4,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-04-04,2012-04-05 10:38:25,1,0,13,1,0,2,10,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-04-04,2012-04-05 12:41:58,6,0,0,0,0,0,2,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-04-04,2012-04-05 12:42:48,1,0,0,0,0,1,1,0,0,0,0
