"datasetName","basisOfRecord","sample_processed","recordedBy","occurrenceRemarks","date_setup","date_collect","eventID","fieldNumber","SC","samplingProtocol","eventRemarks","site","trap","geodeticDatum","latitude","longitude","gps_uncertainty","verbatimCoordinateSystem","verbatimSRS","georeferenceProtocol","identifiedBy","dung_type","Bubas bison","Digitonthophagus gazella","Euoniticellus africanus","Euoniticellus fulvus","Euoniticellus intermedius","Euoniticellus pallipes","Geotrupes spiniger","Hamonthophagus depressus","Liatongus militaris","Onitis alexis","Onthophagus binodis","Onitis caffer","Onitis viridulus","Onitis pecuarius","Onthophagus taurus","Onitis aygulus","Sisyphus rubrus","Sisyphus spinipes"
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-10-27 05:52:00,2020-10-28 05:19:00,"TC-02569_SC-03169_264361_265072","TC-02569","SC-03169","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 1","EPSG:4326",-31.23430093186,151.14432331562,8.001208274,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-10-27 06:06:00,2020-10-28 05:23:00,"TC-02570_SC-03170_264362_265074","TC-02570","SC-03170","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 2","EPSG:4326",-31.240336748457,151.14321771558,6.000906205,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-10-27 06:21:00,2020-10-28 05:33:00,"TC-02571_SC-03173_265070_265077","TC-02571","SC-03173","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 3","EPSG:4326",-31.241877675379,151.14763982039,6.000906205,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-10-27 06:40:00,2020-10-28 05:44:00,"TC-02572_SC-03174_265071_265081","TC-02572","SC-03174","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 4","EPSG:4326",-31.238277978376,151.15253183014,6.000906205,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-11-30 06:51:00,2020-12-01 05:30:00,"TC-02573_SC-03178_279764_280178","TC-02573","SC-03178","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 1","EPSG:4326",-31.234244390251,151.1443740252,6.000906205,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-11-30 07:03:00,2020-12-01 05:44:00,"TC-02574_SC-03177_279767_280180","TC-02574","SC-03177","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 2","EPSG:4326",-31.240347812875,151.1432031487,8.001208274,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-11-30 07:15:00,2020-12-01 05:53:00,"TC-02575_SC-03181_280177_280182","TC-02575","SC-03181","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 3","EPSG:4326",-31.241838932982,151.14762270709,6.000906205,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2020-11-30 07:27:00,2020-12-01 06:12:00,"TC-02576_SC-03182_279768_280183","TC-02576","SC-03182","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 4","EPSG:4326",-31.238350630228,151.15253224326,6.000906205,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2021-01-18 00:00:00,2021-01-19 13:16:00,"TC-02577_SC-03185_NA_295784","TC-02577","SC-03185","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 1","EPSG:4326",-31.234277374368,151.14434975678,6.000906205,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
"Dung Beetle Ecosystem Engineers",,"N","UNE",,2021-01-18 13:15:00,2021-01-19 12:45:00,"TC-02578_SC-03186_295180_295781","TC-02578","SC-03186","DBEE pan trap baited with 1kg (+/- 0.3kg) cattle dung wrapped in a meshBag",,"Dungowan","Dungowan Trap 2","EPSG:4326",-31.240354522502,151.14324949853,4.000604137,"decimal degrees","EPSG:4326","coordinatesFromMobileDevice",,"cattle",,,,,,,,,,,,,,,,,,
