"region","site_code","site","trap","date_setup","date_collect","verbatimLongitude","verbatimLatitude","coordinate_level","coordinate_source","verbatimCoordinateSystem","gazella","sagittarius","militaris","alexis","viridulus","intermedius","spinipes","rubrus","elphenor","nigriventris","binodis","caffer","pecuarius","africanus","vanderkelleni"
"SQ","SQ8","Tara","1",2001-02-09,2001-02-10,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",25,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"SQ","SQ8","Tara","2",2001-02-09,2001-02-10,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",14,0,0,1,0,32,0,3,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-03-12,2001-03-13,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",508,0,0,0,0,166,19,60,0,0,0,0,0,0,0
"SQ","SQ8","Tara","2",2001-03-12,2001-03-13,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",448,0,0,1,3,69,0,21,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-04-14,2001-04-15,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",46,0,0,1,1,48,0,21,0,0,0,0,0,1,0
"SQ","SQ8","Tara","2",2001-04-14,2001-04-15,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",9,0,0,0,0,59,2,20,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-05-21,2001-05-22,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,18,13,0,0,0,0,0,0,0,0
"SQ","SQ8","Tara","2",2001-05-21,2001-05-22,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,15,0,17,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-06-22,2001-06-23,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"SQ","SQ8","Tara","2",2001-06-22,2001-06-23,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-07-28,2001-07-29,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"SQ","SQ8","Tara","2",2001-07-28,2001-07-29,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-08-31,2001-09-01,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"SQ","SQ8","Tara","2",2001-08-31,2001-09-01,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-09-30,2001-10-01,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",1,0,0,0,0,9,0,12,0,0,0,0,0,0,0
"SQ","SQ8","Tara","2",2001-09-30,2001-10-01,"150 22 56.0 E","27 21 45.0 S","trap","GPS","degrees minutes seconds",0,0,0,0,0,20,0,10,0,0,0,0,0,0,0
"SQ","SQ8","Tara","1",2001-10-31,2001-11-01,"150 24 37.0 E","27 20 57.0 S","trap","GPS","degrees minutes seconds",49,0,0,1,0,38,0,28,0,0,0,0,0,1,0
