"region","site","date_setup","date_collect","verbatimLongitude","verbatimLatitude","coordinate_level","coordinate_source","verbatimCoordinateSystem","samplingProtocol","samplingEffort","obliquus","gazella","sagittarius","militaris","intermedius","alexis","viridulus"
"NQ","Glenray",2009-12-09,2009-12-09,"145 19.349 E","16 18.947 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately three person hours spent searching 60 dung pads",0,71,8,0,7,0,3
"NQ","Glenray",2009-12-28,2009-12-28,"145 19.349 E","16 18.947 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately four person hours spent searching 75 dung pads",0,59,17,0,9,0,1
"NQ","Helenvale_c",2010-01-15,2010-01-15,"145 13.592 E","15 41.965 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately six person hours spent searching 100 dung pads",0,101,2,8,17,10,1
"NQ","Shiptons Flat",2010-01-15,2010-01-15,"145 13.954 E","15 47.873 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately four person hours spent searching 80 dung pads",0,80,5,21,25,16,16
"NQ","Helenvale_j",2010-01-16,2010-01-16,"145 13.592 E","15 42.347 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately four person hours spent searching 40 dung pads",0,30,6,0,3,4,0
"NQ","Helenvale_c",2010-01-16,2010-01-16,"145 13.592 E","15 41.965 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately four person hours spent searching 80 dung pads",0,33,8,19,33,6,3
"NQ","Streamlets",2010-01-17,2010-01-17,"145 01.643 E","15 21.497 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately four person hours spent searching 70 dung pads",0,65,1,5,11,3,1
"NQ","Streamlets",2010-01-17,2010-01-18,"145 01.643 E","15 21.497 S","property","GPS","degrees decimal minutes","Dung pads left overnight and then searched"," 6 dung pads",0,14,0,0,0,0,0
"NQ","RN 3107",2010-01-17,2010-01-17,"145 01.666 E","15 21.967 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately four person hours spent searching 80 dung pads",0,8,0,1,109,0,0
"NQ","Hazelmere Station",2010-01-18,2010-01-18,"145 01.893 E","15 23.642 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately four person hours spent searching 100 dung pads",0,80,1,3,38,0,3
"NQ","Streamlets",2010-05-03,2010-05-04,"145 01.643 E","15 21.497 S","property","GPS","degrees decimal minutes","Dung pads left overnight and then searched"," 6 dung pads",1,61,0,0,0,0,0
"NQ","Streamlets",2010-05-04,2010-05-04,"145 01.643 E","15 21.497 S","property","GPS","degrees decimal minutes","flotation",NA,1,380,6,0,0,8,69
"NQ","Streamlets",2010-05-04,2010-05-04,"145 01.643 E","15 21.497 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately three person hours spent searching 50 dung pads",4,125,0,18,0,10,61
"NQ","Hazelmere Station",2010-05-04,2010-05-04,"145 01.893 E","15 23.642 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately three person hours spent searching 50 dung pads",0,0,0,0,0,0,0
"NQ","Hazelmere Station",2010-05-04,2010-05-05,"145 01.893 E","15 23.642 S","property","GPS","degrees decimal minutes","Dung pads left overnight and then searched"," 6 dung pads",0,6,0,0,0,0,4
"NQ","Endeavour Valley Road",2010-05-07,2010-05-07,"145 01.722 E","15 21.142 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately two person hours spent searching 50 dung pads",0,20,0,11,0,0,3
"NQ","Mt Olive Station",2010-05-05,2010-05-05,"145 03.627 E","15 24.864 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately one and half person hours spent searching 25 dung pads",0,10,1,4,1,0,5
"NQ","Kings Plain Station",2010-05-06,2010-05-06,"145 01.602 E","15 41.904 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately three person hours spent searching 70 dung pads",0,43,0,6,26,8,121
"NQ","Daintree River Road",2010-05-23,2010-05-23,"145 17.885 E","16 12.594 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately three person hours spent searching 60 dung pads",0,5,14,1,2,0,0
"NQ","RN 267",2010-05-23,2010-05-23,"145 18.404 E","16 16.554 S","property","GPS","degrees decimal minutes","Dung pads searched for dung beetles","Approximately two person hours spent searching 50 dung pads",0,0,1,0,0,0,0
