"Species","Origin","year_released","N_presence_records","N_counts"
"Bubas bison (Linnaeus, 1767)","France and Spain","1983","1,955","45,062"
"Copris elphenor Klug, 1855","Southern Africa","1977","3","3"
"Copris hispanus Linnaeus, 1764","Spain","1983","33","86"
"Digitonthophagus gazella (Fabricius, 1787)","Zimbabwe (via Hawaii) and South Africa","1968","1,960","150,853"
"Euoniticellus africanus (Harold, 1873)","South Africa","1971","475","4,584"
"Euoniticellus fulvus (Goeze, 1777)","France and Turkey","1978","2,736","148,386"
"Euoniticellus intermedius (Reiche, 1849)","South Africa","1971","2,921","220,778"
"Euoniticellus pallipes (Fabricius, 1781)","Iran and Turkey","1977","1,378","22,330"
"Geotrupes spiniger Marsham, 1802","France","1979","105","350"
"Liatongus militaris (Castelnau, 1840)","South Africa (via Hawaii)","1968","937","34,091"
"Onitis alexis Klug, 1835","Malawi, Mozambique, South Africa, and Zimbabwe","1972","1,373","8,535"
"Onitis aygulus (Fabricius, 1781)","South Africa","1977","643","3,983"
"Onitis caffer Boheman, 1857","South Africa","1979","142","357"
"Onitis pecuarius Lansberge, 1875","South Africa","1976","34","125"
"Onitis vanderkelleni Lansberge, 1886","Kenya","1974","13","42"
"Onitis viridulus Boheman, 1857","South Africa","1976","315","1,006"
"Onthophagus binodis Thunberg, 1818","South Africa","1971","1,473","47,361"
"Onthophagus nigriventris d'Orbigny, 1902","Kenya","1975","71","529"
"Onthophagus obliquus (Olivier, 1789)","Nigeria","1976","3","6"
"Onthophagus sagittarius (Fabricius, 1781)","Sri Lanka (via Hawaii)","1968","359","5,946"
"Onthophagus taurus (Schreber, 1759)","Greece, Italy, Spain, and Turkey","1975","4,165","932,565"
"Sisyphus rubrus Paschalidis, 1974","South Africa","1973","1,055","113,008"
"Sisyphus spinipes (Thunberg, 1818)","South Africa","1972","569","12,821"
