"datasetName","basisOfRecord","recordedBy","eventID","parentEventID","eventDate_setup","eventDate_collect","eventDate","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","locationID_site","locationID_trap","country","countryCode","stateProvince","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","georeferenceProtocol","georeferenceSources","identifiedBy","dung_type","Digitonthophagus gazella","Onthophagus sagittarius","Liatongus militaris","Onitis alexis","Onitis viridulus","Euoniticellus intermedius","Sisyphus spinipes","Sisyphus rubrus","Copris elphenor","Onthophagus nigriventris","Onthophagus binodis","Onitis caffer","Onitis pecuarius","Euoniticellus africanus","Onitis vanderkelleni","Onthophagus obliquus"
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-02-09_a","Tara_2001-02-09",2001-02-09,2001-02-10,"2001-02-09/2001-02-10",40,41,2001,2,9,"2001-02-09 2001-02-10","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-02-09_b","Tara_2001-02-09",2001-02-09,2001-02-10,"2001-02-09/2001-02-10",40,41,2001,2,9,"2001-02-09 2001-02-10","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",14,0,0,1,0,32,0,3,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-03-12_a","Tara_2001-03-12",2001-03-12,2001-03-13,"2001-03-12/2001-03-13",71,72,2001,3,12,"2001-03-12 2001-03-13","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",508,0,0,0,0,166,19,60,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-03-12_b","Tara_2001-03-12",2001-03-12,2001-03-13,"2001-03-12/2001-03-13",71,72,2001,3,12,"2001-03-12 2001-03-13","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",448,0,0,1,3,69,0,21,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-04-14_a","Tara_2001-04-14",2001-04-14,2001-04-15,"2001-04-14/2001-04-15",104,105,2001,4,14,"2001-04-14 2001-04-15","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",46,0,0,1,1,48,0,21,0,0,0,0,0,1,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-04-14_b","Tara_2001-04-14",2001-04-14,2001-04-15,"2001-04-14/2001-04-15",104,105,2001,4,14,"2001-04-14 2001-04-15","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",9,0,0,0,0,59,2,20,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-05-21_a","Tara_2001-05-21",2001-05-21,2001-05-22,"2001-05-21/2001-05-22",141,142,2001,5,21,"2001-05-21 2001-05-22","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-05-21_b","Tara_2001-05-21",2001-05-21,2001-05-22,"2001-05-21/2001-05-22",141,142,2001,5,21,"2001-05-21 2001-05-22","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,15,0,17,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-06-22_a","Tara_2001-06-22",2001-06-22,2001-06-23,"2001-06-22/2001-06-23",173,174,2001,6,22,"2001-06-22 2001-06-23","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-06-22_b","Tara_2001-06-22",2001-06-22,2001-06-23,"2001-06-22/2001-06-23",173,174,2001,6,22,"2001-06-22 2001-06-23","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-07-28_a","Tara_2001-07-28",2001-07-28,2001-07-29,"2001-07-28/2001-07-29",209,210,2001,7,28,"2001-07-28 2001-07-29","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-07-28_b","Tara_2001-07-28",2001-07-28,2001-07-29,"2001-07-28/2001-07-29",209,210,2001,7,28,"2001-07-28 2001-07-29","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-08-31_a","Tara_2001-08-31",2001-08-31,2001-09-01,"2001-08-31/2001-09-01",243,244,2001,8,31,"2001-08-31 2001-09-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-08-31_b","Tara_2001-08-31",2001-08-31,2001-09-01,"2001-08-31/2001-09-01",243,244,2001,8,31,"2001-08-31 2001-09-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-09-30_a","Tara_2001-09-30",2001-09-30,2001-10-01,"2001-09-30/2001-10-01",273,274,2001,9,30,"2001-09-30 2001-10-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",1,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-09-30_b","Tara_2001-09-30",2001-09-30,2001-10-01,"2001-09-30/2001-10-01",273,274,2001,9,30,"2001-09-30 2001-10-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-10-31_a","Tara_2001-10-31",2001-10-31,2001-11-01,"2001-10-31/2001-11-01",304,305,2001,10,31,"2001-10-31 2001-11-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",49,0,0,1,0,38,0,28,0,0,0,0,0,1,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-10-31_b","Tara_2001-10-31",2001-10-31,2001-11-01,"2001-10-31/2001-11-01",304,305,2001,10,31,"2001-10-31 2001-11-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",9,0,0,0,0,34,0,2,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-11-30_a","Tara_2001-11-30",2001-11-30,2001-12-01,"2001-11-30/2001-12-01",334,335,2001,11,30,"2001-11-30 2001-12-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",13,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2001-11-30_b","Tara_2001-11-30",2001-11-30,2001-12-01,"2001-11-30/2001-12-01",334,335,2001,11,30,"2001-11-30 2001-12-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",15,0,0,0,0,51,2,57,0,0,0,0,0,1,0,0
